iter	Passed	Remaining
0	145	145812
1	148	74042
2	150	50073
3	152	38082
4	155	30930
5	159	26354
6	161	22976
7	164	20380
8	167	18400
9	169	16813
10	172	15499
11	175	14409
12	177	13470
13	179	12639
14	181	11938
15	184	11323
16	186	10766
17	188	10277
18	190	9826
19	192	9433
20	194	9088
21	197	8765
22	199	8471
23	201	8198
24	203	7951
25	206	7719
26	208	7504
27	210	7311
28	212	7129
29	215	6955
30	216	6775
31	218	6609
32	220	6461
33	222	6321
34	224	6194
35	227	6078
36	228	5958
37	230	5842
38	232	5739
39	234	5631
40	236	5526
41	238	5439
42	241	5376
43	243	5301
44	246	5226
45	248	5159
46	251	5094
47	253	5019
48	255	4967
49	258	4910
50	260	4852
51	262	4794
52	265	4741
53	267	4692
54	270	4648
55	272	4598
56	275	4550
57	277	4503
58	279	4462
59	281	4417
60	284	4374
61	286	4332
62	288	4292
63	290	4253
64	292	4210
65	294	4172
66	296	4134
67	299	4101
68	302	4075
69	304	4046
70	306	4013
71	308	3981
72	310	3947
73	312	3909
74	314	3879
75	317	3854
76	319	3824
77	320	3791
78	322	3758
79	324	3728
80	325	3697
81	328	3673
82	329	3638
83	331	3614
84	333	3587
85	335	3560
86	337	3536
87	339	3514
88	340	3487
89	342	3462
90	344	3445
91	346	3424
92	349	3404
93	350	3381
94	352	3362
95	355	3348
96	357	3329
97	360	3313
98	362	3296
99	364	3280
100	366	3264
101	368	3246
102	370	3228
103	372	3210
104	374	3195
105	377	3186
106	380	3172
107	382	3155
108	383	3138
109	385	3122
110	387	3103
111	389	3088
112	391	3076
113	393	3061
114	396	3048
115	398	3036
116	400	3021
117	402	3009
118	405	3001
119	407	2989
120	410	2980
121	412	2965
122	414	2958
123	417	2948
124	420	2946
125	423	2937
126	425	2924
127	427	2910
128	429	2898
129	431	2890
130	434	2879
131	436	2869
132	438	2859
133	441	2852
134	444	2845
135	446	2834
136	448	2824
137	451	2819
138	453	2809
139	456	2804
140	458	2796
141	460	2782
142	462	2773
143	464	2763
144	467	2756
145	469	2748
